lambda flux fluxErr
10153.9820 3.39575e-17 2.20851e-18
10155.0680 3.37789e-17 2.21641e-18
10156.1540 3.29389e-17 2.16566e-18
10157.2400 3.31248e-17 2.16514e-18
10158.3260 3.41649e-17 2.17753e-18
10159.4120 3.28886e-17 2.09768e-18
10160.4980 3.32911e-17 2.12777e-18
10161.5840 3.29253e-17 2.09954e-18
10162.6700 3.32736e-17 2.21199e-18
10163.7560 3.37265e-17 2.43011e-18
10164.8420 3.26784e-17 2.12835e-18
10165.9280 3.26633e-17 2.13490e-18
10167.0140 3.28174e-17 2.07755e-18
10168.1000 3.24712e-17 2.05797e-18
10169.1860 3.27538e-17 2.07302e-18
10170.2710 3.25906e-17 2.05497e-18
10171.3570 3.34447e-17 2.12435e-18
10172.4430 3.27786e-17 2.21470e-18
10173.5290 3.49414e-17 2.44349e-18
10174.6150 3.37040e-17 2.38354e-18
10175.7010 3.25404e-17 2.29938e-18
10176.7870 3.27347e-17 2.21053e-18
10177.8730 3.33183e-17 2.10972e-18
10178.9590 3.31974e-17 2.08403e-18
10180.0450 3.25873e-17 2.04348e-18
10181.1310 3.25551e-17 2.04991e-18
10182.2170 3.24796e-17 2.06961e-18
10183.3030 3.33401e-17 2.12967e-18
10184.3890 3.36745e-17 2.15209e-18
10185.4750 3.40751e-17 2.17296e-18
10186.5610 3.30373e-17 2.08677e-18
10187.6470 3.15632e-17 1.98694e-18
10188.7330 3.17130e-17 1.99632e-18
10189.8190 3.27900e-17 2.09562e-18
10190.9050 3.23552e-17 2.15251e-18
10191.9910 3.49519e-17 2.38257e-18
10193.0770 3.37057e-17 2.31273e-18
10194.1630 3.10072e-17 2.07913e-18
10195.2490 3.38640e-17 2.15864e-18
10196.3350 3.23916e-17 2.03614e-18
10197.4210 3.19266e-17 2.00691e-18
10198.5070 3.25401e-17 2.04481e-18
10199.5930 3.20498e-17 2.02597e-18
10200.6790 3.31868e-17 2.09582e-18
10201.7650 3.28975e-17 2.06962e-18
10202.8510 3.38957e-17 2.13471e-18
10203.9370 3.28339e-17 2.10632e-18
10205.0230 3.32206e-17 2.14671e-18
10206.1090 3.33286e-17 2.15445e-18
10207.1950 3.32885e-17 2.14771e-18
10208.2810 3.26322e-17 2.09986e-18
10209.3670 3.24508e-17 2.10442e-18
10210.4520 3.16045e-17 2.06221e-18
10211.5380 3.28536e-17 2.20525e-18
10212.6240 3.25095e-17 2.26225e-18
10213.7100 3.26232e-17 2.25217e-18
10214.7960 3.40470e-17 2.30207e-18
10215.8820 3.33342e-17 2.19723e-18
10216.9680 3.23210e-17 2.04241e-18
10218.0540 3.18531e-17 1.99803e-18
10219.1400 3.17328e-17 2.01568e-18
10220.2260 3.23778e-17 2.05694e-18
10221.3120 3.21638e-17 2.01922e-18
10222.3980 3.15529e-17 1.98309e-18
10223.4840 3.18881e-17 2.00425e-18
10224.5700 3.18653e-17 2.00250e-18
10225.6560 3.20428e-17 2.03141e-18
10226.7420 3.29990e-17 2.15917e-18
10227.8280 3.26413e-17 2.17525e-18
10228.9140 3.45199e-17 3.02820e-18
10230.0000 3.36719e-17 2.90475e-18
10231.0860 3.18647e-17 2.10023e-18
10232.1720 3.31780e-17 2.17343e-18
10233.2580 3.30461e-17 2.14010e-18
10234.3440 3.28908e-17 2.12992e-18
10235.4300 3.15045e-17 2.11978e-18
10236.5160 3.22192e-17 2.06768e-18
10237.6020 3.15228e-17 1.98007e-18
10238.6880 3.26481e-17 2.04898e-18
10239.7740 3.20504e-17 2.01184e-18
10240.8600 3.20199e-17 2.01001e-18
10241.9460 3.20361e-17 2.00907e-18
10243.0320 3.27297e-17 2.05137e-18
10244.1180 3.26648e-17 2.04765e-18
10245.2040 3.26933e-17 2.04991e-18
10246.2900 3.26139e-17 2.04406e-18
10247.3760 3.22680e-17 2.02284e-18
10248.4620 3.21613e-17 2.01572e-18
10249.5480 3.21820e-17 2.01648e-18
10250.6330 3.28329e-17 2.05663e-18
10251.7190 3.26070e-17 2.04305e-18
10252.8050 3.24322e-17 2.03247e-18
10253.8910 3.27193e-17 2.05022e-18
10254.9770 3.20920e-17 2.01142e-18
10256.0630 3.24018e-17 2.03143e-18
10257.1490 3.18977e-17 2.00199e-18
10258.2350 3.20590e-17 2.01286e-18
10259.3210 3.25781e-17 2.04493e-18
10260.4070 3.22645e-17 2.02514e-18
10261.4930 3.22713e-17 2.02406e-18
10262.5790 3.16948e-17 1.98786e-18
10263.6650 3.22395e-17 2.02170e-18
10264.7510 3.16780e-17 1.98778e-18
10265.8370 3.24253e-17 2.03464e-18
10266.9230 3.24098e-17 2.03500e-18
10268.0090 3.27427e-17 2.05731e-18
10269.0950 3.28653e-17 2.06510e-18
10270.1810 3.26148e-17 2.05375e-18
10271.2670 3.53365e-17 2.23287e-18
10272.3530 3.27727e-17 2.09066e-18
10273.4390 3.23381e-17 2.06903e-18
10274.5250 3.31708e-17 2.12024e-18
10275.6110 3.38150e-17 2.14994e-18
10276.6970 3.28392e-17 2.06851e-18
10277.7830 3.20440e-17 2.01404e-18
10278.8690 3.22911e-17 2.02762e-18
10279.9550 3.23778e-17 2.03148e-18
10281.0410 3.27492e-17 2.05472e-18
10282.1270 3.22835e-17 2.02825e-18
10283.2130 3.15910e-17 2.02253e-18
10284.2990 3.17765e-17 2.02856e-18
10285.3850 3.17305e-17 2.02336e-18
10286.4710 3.34509e-17 2.22513e-18
10287.5570 3.31718e-17 2.48003e-18
10288.6430 3.47110e-17 2.68272e-18
10289.7290 3.28028e-17 2.58120e-18
10290.8140 3.40585e-17 2.56534e-18
10291.9000 3.46724e-17 2.35222e-18
10292.9860 3.43630e-17 2.49219e-18
10294.0720 3.36492e-17 2.40358e-18
10295.1580 3.37666e-17 2.44231e-18
10296.2440 3.33216e-17 2.15343e-18
10297.3300 3.34268e-17 2.24327e-18
10298.4160 3.38934e-17 2.28381e-18
10299.5020 3.34137e-17 2.25341e-18
10300.5880 3.38157e-17 2.23743e-18
10301.6740 3.35243e-17 2.13223e-18
10302.7600 3.33270e-17 2.09251e-18
10303.8460 3.31785e-17 2.08383e-18
10304.9320 3.35215e-17 2.10598e-18
10306.0180 3.31850e-17 2.08720e-18
10307.1040 3.37538e-17 2.12325e-18
10308.1900 3.43996e-17 2.16239e-18
10309.2760 3.36578e-17 2.12268e-18
10310.3620 3.37688e-17 2.15289e-18
10311.4480 3.47438e-17 2.25484e-18
10312.5340 3.41206e-17 2.22216e-18
10313.6200 3.25242e-17 2.08713e-18
10314.7060 3.31323e-17 2.09794e-18
10315.7920 3.26401e-17 2.04888e-18
10316.8780 3.26048e-17 2.04423e-18
10317.9640 3.28563e-17 2.05955e-18
10319.0500 3.29085e-17 2.06301e-18
10320.1360 3.28794e-17 2.06095e-18
10321.2220 3.30398e-17 2.07010e-18
10322.3080 3.34825e-17 2.09737e-18
10323.3940 3.28222e-17 2.05714e-18
10324.4800 3.33640e-17 2.09174e-18
10325.5660 3.29452e-17 2.06651e-18
10326.6520 3.28695e-17 2.06332e-18
10327.7380 3.31033e-17 2.08255e-18
10328.8240 3.33509e-17 2.10203e-18
10329.9100 3.30387e-17 2.08484e-18
10330.9950 3.30790e-17 2.08632e-18
10332.0810 3.30701e-17 2.08137e-18
10333.1670 3.33934e-17 2.09613e-18
10334.2530 3.34687e-17 2.09733e-18
10335.3390 3.30347e-17 2.07012e-18
10336.4250 3.29160e-17 2.06278e-18
10337.5110 3.30871e-17 2.07335e-18
10338.5970 3.33254e-17 2.08798e-18
10339.6830 3.25661e-17 2.04284e-18
10340.7690 3.26761e-17 2.06104e-18
