lambda flux fluxErr
10253.8910 1.15079e-18 2.22296e-19
10254.9770 1.51387e-18 2.65251e-19
10256.0630 2.05582e-18 3.90836e-19
10257.1490 1.75772e-18 3.71687e-19
10258.2350 1.12799e-18 2.73783e-19
10259.3210 1.07183e-18 2.70779e-19
10260.4070 1.54134e-18 2.73393e-19
10261.4930 1.65653e-18 2.52569e-19
10262.5790 1.45631e-18 2.39406e-19
10263.6650 1.28645e-18 2.44531e-19
10264.7510 1.24044e-18 2.61507e-19
10265.8370 1.69728e-18 2.80559e-19
10266.9230 1.75051e-18 3.00976e-19
10268.0090 1.01160e-18 3.03850e-19
10269.0950 1.49847e-18 3.03741e-19
10270.1810 1.71998e-18 3.22248e-19
10271.2670 1.57812e-18 4.36693e-19
10272.3530 1.91738e-18 5.51748e-19
10273.4390 1.34977e-18 5.77934e-19
10274.5250 1.82194e-18 6.04979e-19
10275.6110 1.57631e-18 5.42844e-19
10276.6970 1.46234e-18 3.87032e-19
10277.7830 1.35317e-18 2.86014e-19
10278.8690 1.64528e-18 2.76246e-19
10279.9550 1.73803e-18 2.71095e-19
10281.0410 1.72375e-18 2.74467e-19
10282.1270 1.89720e-18 2.74879e-19
10283.2130 1.45384e-18 2.63513e-19
10284.2990 1.45653e-18 3.15858e-19
10285.3850 1.93497e-18 5.43112e-19
10286.4710 1.86303e-18 1.02369e-18
10287.5570 2.99662e-18 1.75119e-18
10288.6430 1.89756e-18 2.02338e-18
10289.7290 3.11736e-18 2.00205e-18
10290.8140 2.77721e-18 1.83547e-18
10291.9000 3.38654e-18 1.48136e-18
10292.9860 1.75505e-18 5.77425e-19
10294.0720 1.61445e-18 4.97750e-19
10295.1580 1.59191e-18 4.36503e-19
10296.2440 1.95956e-18 7.40329e-19
10297.3300 7.95201e-19 1.07750e-18
10298.4160 1.34054e-18 1.14431e-18
10299.5020 2.57832e-18 1.11118e-18
10300.5880 1.93998e-18 9.44782e-19
10301.6740 2.03073e-18 5.54127e-19
10302.7600 1.40462e-18 2.88004e-19
10303.8460 1.32545e-18 2.85108e-19
10304.9320 1.43637e-18 2.98729e-19
10306.0180 1.16917e-18 3.27118e-19
10307.1040 1.46282e-18 3.44879e-19
10308.1900 1.87107e-18 3.38817e-19
10309.2760 1.15795e-18 4.04173e-19
10310.3620 1.66397e-18 7.82005e-19
10311.4480 1.45024e-18 9.25984e-19
10312.5340 1.34140e-18 6.81857e-19
