lambda flux fluxErr
10163.7560 1.24932e-18 3.61941e-19
10164.8420 1.47791e-18 3.34506e-19
10165.9280 1.61723e-18 3.85934e-19
10167.0140 1.94111e-18 3.95719e-19
10168.1000 1.83787e-18 4.30470e-19
10169.1860 1.74728e-18 6.23793e-19
10170.2710 1.68855e-18 4.72316e-19
10171.3570 1.75743e-18 5.04146e-19
10172.4430 2.37449e-18 9.60001e-19
10173.5290 2.20138e-18 1.22237e-18
10174.6150 2.18481e-18 1.25744e-18
10175.7010 2.13440e-18 1.19760e-18
10176.7870 1.15915e-18 8.84844e-19
10177.8730 8.09435e-19 4.13461e-19
10178.9590 1.61668e-18 3.17140e-19
10180.0450 1.41671e-18 3.03010e-19
10181.1310 1.44216e-18 4.55954e-19
10182.2170 1.38017e-18 4.55065e-19
10183.3030 1.50301e-18 5.08920e-19
10184.3890 1.64896e-18 7.38543e-19
10185.4750 1.42662e-18 6.84564e-19
10186.5610 2.00610e-18 3.76312e-19
10187.6470 1.98389e-18 2.95536e-19
10188.7330 1.28636e-18 2.88283e-19
10189.8190 5.75463e-19 5.48809e-19
10190.9050 1.36453e-18 8.17605e-19
10191.9910 1.33928e-18 9.11412e-19
10193.0770 1.23398e-18 9.12730e-19
10194.1630 2.06860e-18 8.29227e-19
10195.2490 1.70813e-18 5.30435e-19
10196.3350 1.10737e-18 2.68195e-19
10197.4210 1.27850e-18 2.58963e-19
10198.5070 1.87487e-18 3.17036e-19
10199.5930 1.83194e-18 3.11332e-19
10200.6790 1.44797e-18 2.56161e-19
10201.7650 1.75629e-18 2.71399e-19
10202.8510 1.36281e-18 3.49676e-19
10203.9370 1.19859e-18 5.34955e-19
10205.0230 1.88141e-18 6.21340e-19
10206.1090 1.88467e-18 6.29311e-19
10207.1950 1.63846e-18 5.95135e-19
10208.2810 1.53752e-18 4.60456e-19
10209.3670 1.21613e-18 5.09653e-19
10210.4520 2.51343e-18 6.61545e-19
10211.5380 2.57343e-18 9.18654e-19
10212.6240 2.03621e-18 1.10199e-18
10213.7100 2.36337e-18 1.14293e-18
10214.7960 9.28755e-19 1.06259e-18
10215.8820 1.24173e-18 8.04441e-19
10216.9680 1.34599e-18 3.89444e-19
10218.0540 1.18930e-18 2.16358e-19
10219.1400 1.07329e-18 2.06013e-19
10220.2260 9.02043e-19 2.49312e-19
10221.3120 1.48801e-18 2.91006e-19
10222.3980 1.70730e-18 2.65765e-19
10223.4840 1.16191e-18 2.55390e-19
10224.5700 1.36956e-18 2.62420e-19
10225.6560 7.46702e-19 4.29931e-19
10226.7420 1.75943e-18 7.26828e-19
10227.8280 1.15755e-18 8.37998e-19
10228.9140 -9.18124e-19 -8.50875e-19
10230.0000 1.28708e-18 7.89073e-19
10231.0860 1.57161e-18 6.55065e-19
10232.1720 1.01006e-18 6.28031e-19
10233.2580 1.61483e-18 6.44111e-19
10234.3440 1.48427e-18 6.32768e-19
10235.4300 1.53166e-18 5.14230e-19
10236.5160 1.30967e-18 3.24346e-19
10237.6020 1.54668e-18 2.53044e-19
10238.6880 1.34145e-18 2.30888e-19
10239.7740 1.34970e-18 2.13614e-19
10240.8600 1.44245e-18 2.09300e-19
10241.9460 1.55783e-18 2.13405e-19
10243.0320 1.53799e-18 2.16256e-19
10244.1180 1.88306e-18 4.95096e-19
10245.2040 1.73646e-18 4.92336e-19
10246.2900 1.35205e-18 2.10917e-19
10247.3760 8.93773e-19 1.99138e-19
10248.4620 1.31702e-18 2.04280e-19
10249.5480 1.62490e-18 2.09448e-19
10250.6330 1.44144e-18 2.01661e-19
10251.7190 1.22593e-18 1.96904e-19
10252.8050 1.36445e-18 2.00954e-19
10253.8910 1.49849e-18 2.05572e-19
10254.9770 1.27497e-18 2.02516e-19
10256.0630 1.22928e-18 2.49420e-19
10257.1490 1.51827e-18 2.80495e-19
10258.2350 1.52828e-18 2.54360e-19
10259.3210 1.30580e-18 2.37464e-19
10260.4070 1.29858e-18 2.32512e-19
10261.4930 1.36936e-18 2.19009e-19
10262.5790 1.45206e-18 2.11103e-19
10263.6650 1.51546e-18 2.18502e-19
10264.7510 1.50332e-18 2.27342e-19
10265.8370 1.63791e-18 2.40441e-19
10266.9230 1.70814e-18 2.57558e-19
10268.0090 1.66479e-18 2.67014e-19
10269.0950 1.52000e-18 2.67895e-19
10270.1810 1.81997e-18 2.93473e-19
10271.2670 3.14581e-18 6.25180e-19
10272.3530 1.87698e-18 7.63717e-19
10273.4390 1.42316e-18 5.14448e-19
10274.5250 1.22043e-18 5.23395e-19
10275.6110 1.35195e-18 4.59266e-19
10276.6970 1.35927e-18 3.14961e-19
10277.7830 1.19754e-18 2.52887e-19
10278.8690 1.42379e-18 2.40937e-19
10279.9550 1.06480e-18 2.27008e-19
10281.0410 1.11652e-18 2.30320e-19
10282.1270 1.47196e-18 2.34936e-19
10283.2130 1.39566e-18 2.34404e-19
10284.2990 1.41834e-18 2.83392e-19
10285.3850 1.59242e-18 4.99595e-19
10286.4710 2.50274e-18 8.65851e-19
10287.5570 1.46161e-18 1.54043e-18
10288.6430 2.67317e-18 1.75999e-18
10289.7290 1.82160e-18 1.74077e-18
10290.8140 1.49815e-18 1.62577e-18
10291.9000 2.96784e-18 9.95583e-19
10292.9860 1.26172e-18 4.17435e-19
10294.0720 1.33073e-18 3.53706e-19
10295.1580 1.71746e-18 4.02113e-19
10296.2440 4.25606e-19 6.78849e-19
10297.3300 7.83924e-19 9.09363e-19
10298.4160 -6.96396e-20 -9.58790e-19
10299.5020 2.01120e-18 9.72623e-19
10300.5880 1.80627e-18 8.32855e-19
10301.6740 1.53780e-18 4.40082e-19
10302.7600 1.55828e-18 2.58349e-19
10303.8460 1.67691e-18 2.62966e-19
10304.9320 1.77338e-18 2.75111e-19
10306.0180 1.21733e-18 2.85587e-19
10307.1040 1.67077e-18 3.06133e-19
10308.1900 1.86152e-18 3.02588e-19
10309.2760 1.90669e-18 3.54086e-19
10310.3620 1.82459e-18 4.97244e-19
10311.4480 1.70886e-18 5.84843e-19
10312.5340 1.29096e-18 6.33007e-19
10313.6200 1.71113e-18 5.80558e-19
10314.7060 1.54017e-18 6.19907e-19
10315.7920 1.26554e-18 3.25980e-19
10316.8780 1.19742e-18 2.16165e-19
10317.9640 1.31259e-18 2.18327e-19
10319.0500 1.31525e-18 2.16713e-19
10320.1360 1.57349e-18 2.23799e-19
10321.2220 1.60343e-18 2.16269e-19
10322.3080 1.14652e-18 2.05965e-19
10323.3940 1.77769e-18 2.32414e-19
10324.4800 1.61097e-18 2.38028e-19
10325.5660 1.99442e-18 2.52475e-19
10326.6520 1.49005e-18 2.55368e-19
10327.7380 1.39851e-18 2.95726e-19
10328.8240 2.14998e-18 3.66485e-19
10329.9100 1.21121e-18 3.67595e-19
10330.9950 1.78389e-18 3.45193e-19
10332.0810 1.26647e-18 2.96235e-19
10333.1670 1.67882e-18 2.52547e-19
10334.2530 1.60697e-18 2.18985e-19
10335.3390 1.51862e-18 2.15135e-19
10336.4250 1.35672e-18 2.09623e-19
10337.5110 1.74042e-18 2.18745e-19
10338.5970 1.31128e-18 2.91342e-19
10339.6830 1.38008e-18 3.12107e-19
10340.7690 1.76863e-18 3.49135e-19
10341.8550 1.78387e-18 4.08708e-19
10342.9410 2.13209e-18 4.20672e-19
