   # lambda  flux(e-/s)    stddev 
  10209.367     0.05667   0.06698 
  10210.452     0.04299   0.09500 
  10211.538    -0.22865   0.13574 
  10212.624    -0.22962   0.15470 
  10213.710     0.03932   0.16292 
  10214.796     0.28895   0.14471 
  10215.882    -0.03886   0.10569 
  10216.968     0.04409   0.04439 
  10218.054     0.06680   0.02640 
  10219.140     0.05587   0.02456 
  10220.226     0.00219   0.02574 
  10221.312    -0.00235   0.02825 
  10222.398     0.05644   0.03474 
  10223.484    -0.00530   0.04214 
  10224.570     0.08522   0.04596 
  10225.656    -0.06170   0.05380 
  10226.742     0.00364   0.08893 
  10227.828     0.04893   0.15263 
  10228.914    -0.00469   0.13098 
  10230.000     0.10509   0.10471 
  10231.086     0.08525   0.09155 
  10232.172    -0.11703   0.09000 
  10233.258    -0.09294   0.09252 
  10234.344    -0.00126   0.08952 
  10235.430    -0.04112   0.07413 
  10236.516     0.01674   0.04305 
  10237.602     0.03290   0.03012 
  10238.688     0.00361   0.02742 
  10239.774    -0.02032   0.02479 
  10240.860     0.01592   0.02410 
  10241.946     0.02686   0.02510 
  10243.032     0.06750   0.02726 
  10244.118     0.04336   0.02526 
  10245.204     0.00645   0.02483 
  10246.290     0.02640   0.02413 
  10247.376    -0.06907   0.02404 
  10248.462    -0.00197   0.02357 
  10249.548     0.01424   0.02371 
  10250.633     0.06628   0.02357 
  10251.719     0.06847   0.02280 
  10252.805     0.02854   0.02262 
  10253.891     0.06325   0.02342 
  10254.977     0.04797   0.02440 
  10256.063     0.08016   0.02518 
  10257.149     0.04790   0.02720 
  10258.235    -0.05757   0.02808 
  10259.321    -0.03769   0.03002 
  10260.407    -0.02304   0.02816 
  10261.493    -0.01090   0.02567 
  10262.579     0.08379   0.02565 
  10263.665     0.03082   0.02707 
  10264.751     0.00705   0.05411 
  10265.837    -0.03264   0.02844 
  10266.923    -0.02040   0.03009 
  10268.009    -0.00579   0.03148 
  10269.095     0.01808   0.03216 
  10270.181     0.04514   0.03473 
  10271.267     0.10681   0.04336 
  10272.353     0.11872   0.06152 
  10273.439     0.12304   0.06873 
  10274.525     0.10050   0.06015 
  10275.611     0.06811   0.05355 
  10276.697     0.04027   0.03675 
  10277.783     0.05725   0.03207 
  10278.869     0.08543   0.02820 
  10279.955     0.13845   0.02708 
  10281.041     0.07602   0.03054 
  10282.127    -0.00208   0.03542 
  10283.213    -0.02322   0.03546 
  10284.299    -0.05341   0.04924 
  10285.385    -0.02325   0.07970 
  10286.471     0.11918   0.12677 
  10287.557     0.51808   0.21220 
  10288.643    -0.10977   0.26528 
  10289.729     0.03113   0.24880 
  10290.814    -0.05516   0.22553 
  10291.900     0.11730   0.12854 
  10292.986    -0.01343   0.05819 
  10294.072     0.11923   0.05408 
  10295.158     0.07626   0.06676 
  10296.244     0.17945   0.08712 
  10297.330    -0.07011   0.13033 
  10298.416     0.00230   0.13876 
  10299.502     0.11314   0.13518 
  10300.588     0.03499   0.11556 
  10301.674     0.03205   0.05780 
  10302.760     0.06992   0.03127 
  10303.846     0.05157   0.03027 
  10304.932     0.00417   0.03289 
  10306.018     0.10394   0.03596 
  10307.104     0.00066   0.03928 
  10308.190     0.03818   0.04022 
  10309.276     0.11084   0.04723 
  10310.362     0.07728   0.06644 
  10311.448     0.14909   0.07846 
  10312.534    -0.00394   0.07920 
  10313.620     0.11556   0.07402 
  10314.706    -0.00861   0.05279 
  10315.792     0.01319   0.03441 
  10316.878     0.04910   0.02841 
  10317.964    -0.01393   0.02601 
  10319.050     0.08012   0.02612 
  10320.136     0.01087   0.02621 
  10321.222    -0.00527   0.02398 
  10322.308     0.04999   0.02417 
  10323.394     0.09223   0.02567 
  10324.480     0.04299   0.02937 
  10325.566    -0.04040   0.02903 
  10326.652    -0.05983   0.03198 
  10327.738    -0.01807   0.03852 
  10328.824     0.08106   0.04404 
  10329.910    -0.00161   0.04865 
  10330.995     0.05116   0.04450 
  10332.081    -0.04106   0.03828 
  10333.167    -0.07046   0.03013 
  10334.253     0.03138   0.02519 
  10335.339     0.03710   0.02525 
  10336.425    -0.01542   0.02882 
  10337.511     0.01673   0.05333 
  10338.597     0.03717   0.02747 
  10339.683     0.02770   0.02893 
  10340.769    -0.02145   0.03902 
  10341.855     0.02894   0.05118 
  10342.941     0.05972   0.04879 
  10344.027     0.09152   0.04806 
  10345.113    -0.00747   0.04366 
  10346.199     0.01703   0.04240 
  10347.285     0.17091   0.05833 
  10348.371    -0.19831   0.10504 
  10349.457    -0.05206   0.11682 
  10350.543    -0.22743   0.11593 
  10351.629    -0.26888   0.10604 
  10352.715    -0.20424   0.06435 
  10353.801     0.08301   0.04650 
  10354.887     0.29016   0.05310 
  10355.973     0.09034   0.05831 
  10357.059     0.13885   0.05819 
  10358.145    -0.01191   0.05423 
  10359.231    -0.01263   0.04147 
  10360.317    -0.01076   0.03013 
  10361.403    -0.02096   0.02640 
  10362.489    -0.01930   0.02546 
  10363.575    -0.03673   0.02669 
  10364.661    -0.01996   0.02583 
  10365.747    -0.01908   0.02586 
  10366.833    -0.03420   0.02661 
  10367.919    -0.03730   0.02779 
  10369.005     0.00389   0.02793 
  10370.090     0.00801   0.03356 
  10371.176     0.07545   0.04577 
  10372.262     0.07217   0.06607 
  10373.348    -0.12876   0.12708 
  10374.434     0.03181   0.21291 
  10375.520     0.07355   0.21204 
  10376.606     0.25039   0.20361 
  10377.692    -0.20989   0.15257 
  10378.778     0.01137   0.05777 
  10379.864     0.09378   0.03387 
  10380.950     0.01105   0.03047 
  10382.036     0.05229   0.02784 
  10383.122     0.03802   0.02701 
  10384.208    -0.01535   0.02725 
  10385.294     0.02090   0.03225 
  10386.380     0.08154   0.02834 
  10387.466     0.04438   0.02659 
  10388.552     0.10166   0.02728 
  10389.638     0.08006   0.02775 
  10390.724     0.06723   0.02818 
  10391.810    -0.02338   0.03204 
  10392.896    -0.02325   0.03501 
  10393.982     0.04629   0.03612 
  10395.068    -0.12338   0.03928 
  10396.154    -0.00553   0.05472 
  10397.240     0.07962   0.09326 
  10398.326     0.29353   0.12857 
  10399.412    -0.06832   0.13030 
  10400.498     0.02029   0.12508 
  10401.584    -0.07020   0.08558 
  10402.670     0.00193   0.03913 
  10403.756     0.03441   0.03011 
  10404.842     0.04666   0.03004 
  10405.928     0.07179   0.03021 
  10407.014     0.01385   0.02959 
  10408.100     0.04994   0.02996 
  10409.186     0.10157   0.03247 
  10410.271     0.03193   0.03522 
  10411.357    -0.04492   0.03671 
  10412.443     0.02840   0.03614 
  10413.529     0.05146   0.03373 
  10414.615    -0.00521   0.03207 
  10415.701     0.02845   0.03813 
  10416.787    -0.01125   0.05382 
  10417.873    -0.09669   0.07798 
  10418.959    -0.14958   0.14766 
  10420.045    -0.04515   0.24222 
  10421.131     0.01509   0.25696 
  10422.217    -0.35928   0.23023 
  10423.303    -0.35854   0.16926 
